lbwsg_category,modelable_entity_id,modelable_entity_name,modelable_entity_description,ga_start,ga_end,ga_plus,ga_closed,bw_start,bw_end,bw_closed,ga,ga_width,ga_midpoint,bw,bw_width,bw_midpoint
cat2,10755,"Neonatal preterm and LBWSG (estimation years) - [0, 24) wks, [0, 500) g",Post-copula joint distribution bins,0,24,False,False,0,500,False,"[0, 24)",24,12.0,"[0, 500)",500,250.0
cat8,10761,"Neonatal preterm and LBWSG (estimation years) - [0, 24) wks, [500, 1000) g",Post-copula joint distribution bins,0,24,False,False,500,1000,False,"[0, 24)",24,12.0,"[500, 1000)",500,750.0
cat10,10763,"Neonatal preterm and LBWSG (estimation years) - [24, 26) wks, [500, 1000) g",Post-copula joint distribution bins,24,26,False,False,500,1000,False,"[24, 26)",2,25.0,"[500, 1000)",500,750.0
cat11,10764,"Neonatal preterm and LBWSG (estimation years) - [26, 28) wks, [500, 1000) g",Post-copula joint distribution bins,26,28,False,False,500,1000,False,"[26, 28)",2,27.0,"[500, 1000)",500,750.0
cat14,10767,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [500, 1000) g",Post-copula joint distribution bins,30,32,False,False,500,1000,False,"[30, 32)",2,31.0,"[500, 1000)",500,750.0
cat15,10768,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [500, 1000) g",Post-copula joint distribution bins,28,30,False,False,500,1000,False,"[28, 30)",2,29.0,"[500, 1000)",500,750.0
cat17,10770,"Neonatal preterm and LBWSG (estimation years) - [26, 28) wks, [1000, 1500) g",Post-copula joint distribution bins,26,28,False,False,1000,1500,False,"[26, 28)",2,27.0,"[1000, 1500)",500,1250.0
cat19,10772,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [1000, 1500) g",Post-copula joint distribution bins,34,36,False,False,1000,1500,False,"[34, 36)",2,35.0,"[1000, 1500)",500,1250.0
cat20,10773,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [1500, 2000) g",Post-copula joint distribution bins,28,30,False,False,1500,2000,False,"[28, 30)",2,29.0,"[1500, 2000)",500,1750.0
cat21,10774,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [1000, 1500) g",Post-copula joint distribution bins,28,30,False,False,1000,1500,False,"[28, 30)",2,29.0,"[1000, 1500)",500,1250.0
cat22,10775,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [1000, 1500) g",Post-copula joint distribution bins,32,34,False,False,1000,1500,False,"[32, 34)",2,33.0,"[1000, 1500)",500,1250.0
cat23,10776,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [1000, 1500) g",Post-copula joint distribution bins,30,32,False,False,1000,1500,False,"[30, 32)",2,31.0,"[1000, 1500)",500,1250.0
cat24,10777,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [1500, 2000) g",Post-copula joint distribution bins,37,38,False,False,1500,2000,False,"[37, 38)",1,37.5,"[1500, 2000)",500,1750.0
cat25,10778,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [1500, 2000) g",Post-copula joint distribution bins,36,37,False,False,1500,2000,False,"[36, 37)",1,36.5,"[1500, 2000)",500,1750.0
cat26,10779,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [2000, 2500) g",Post-copula joint distribution bins,30,32,False,False,2000,2500,False,"[30, 32)",2,31.0,"[2000, 2500)",500,2250.0
cat27,10780,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [1500, 2000) g",Post-copula joint distribution bins,30,32,False,False,1500,2000,False,"[30, 32)",2,31.0,"[1500, 2000)",500,1750.0
cat28,10781,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [1500, 2000) g",Post-copula joint distribution bins,34,36,False,False,1500,2000,False,"[34, 36)",2,35.0,"[1500, 2000)",500,1750.0
cat29,10782,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [1500, 2000) g",Post-copula joint distribution bins,32,34,False,False,1500,2000,False,"[32, 34)",2,33.0,"[1500, 2000)",500,1750.0
cat30,10783,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [2000, 2500) g",Post-copula joint distribution bins,32,34,False,False,2000,2500,False,"[32, 34)",2,33.0,"[2000, 2500)",500,2250.0
cat31,10784,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [2000, 2500) g",Post-copula joint distribution bins,40,42,True,True,2000,2500,False,"[40, 42]",2,41.0,"[2000, 2500)",500,2250.0
cat32,10785,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [2000, 2500) g",Post-copula joint distribution bins,38,40,False,False,2000,2500,False,"[38, 40)",2,39.0,"[2000, 2500)",500,2250.0
cat33,10786,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [2500, 3000) g",Post-copula joint distribution bins,32,34,False,False,2500,3000,False,"[32, 34)",2,33.0,"[2500, 3000)",500,2750.0
cat34,10787,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [2000, 2500) g",Post-copula joint distribution bins,34,36,False,False,2000,2500,False,"[34, 36)",2,35.0,"[2000, 2500)",500,2250.0
cat35,10788,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [2000, 2500) g",Post-copula joint distribution bins,37,38,False,False,2000,2500,False,"[37, 38)",1,37.5,"[2000, 2500)",500,2250.0
cat36,10789,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [2000, 2500) g",Post-copula joint distribution bins,36,37,False,False,2000,2500,False,"[36, 37)",1,36.5,"[2000, 2500)",500,2250.0
cat37,10790,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [2500, 3000) g",Post-copula joint distribution bins,34,36,False,False,2500,3000,False,"[34, 36)",2,35.0,"[2500, 3000)",500,2750.0
cat38,10791,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [4000, 9999] g",Post-copula joint distribution bins,34,36,False,False,4000,9999,True,"[34, 36)",2,35.0,"[4000, 9999]",5999,6999.5
cat39,10792,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [3000, 3500) g",Post-copula joint distribution bins,34,36,False,False,3000,3500,False,"[34, 36)",2,35.0,"[3000, 3500)",500,3250.0
cat40,10793,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [2500, 3000) g",Post-copula joint distribution bins,36,37,False,False,2500,3000,False,"[36, 37)",1,36.5,"[2500, 3000)",500,2750.0
cat41,10794,"Neonatal preterm and LBWSG (estimation years) - [34, 36) wks, [3500, 4000) g",Post-copula joint distribution bins,34,36,False,False,3500,4000,False,"[34, 36)",2,35.0,"[3500, 4000)",500,3750.0
cat42,10795,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [2500, 3000) g",Post-copula joint distribution bins,37,38,False,False,2500,3000,False,"[37, 38)",1,37.5,"[2500, 3000)",500,2750.0
cat43,10796,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [2500, 3000) g",Post-copula joint distribution bins,40,42,True,True,2500,3000,False,"[40, 42]",2,41.0,"[2500, 3000)",500,2750.0
cat44,10797,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [2500, 3000) g",Post-copula joint distribution bins,38,40,False,False,2500,3000,False,"[38, 40)",2,39.0,"[2500, 3000)",500,2750.0
cat45,10798,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [3000, 3500) g",Post-copula joint distribution bins,36,37,False,False,3000,3500,False,"[36, 37)",1,36.5,"[3000, 3500)",500,3250.0
cat46,10799,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [4000, 9999] g",Post-copula joint distribution bins,36,37,False,False,4000,9999,True,"[36, 37)",1,36.5,"[4000, 9999]",5999,6999.5
cat47,10800,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [3500, 4000) g",Post-copula joint distribution bins,36,37,False,False,3500,4000,False,"[36, 37)",1,36.5,"[3500, 4000)",500,3750.0
cat48,10801,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [3000, 3500) g",Post-copula joint distribution bins,37,38,False,False,3000,3500,False,"[37, 38)",1,37.5,"[3000, 3500)",500,3250.0
cat49,10802,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [4000, 9999] g",Post-copula joint distribution bins,37,38,False,False,4000,9999,True,"[37, 38)",1,37.5,"[4000, 9999]",5999,6999.5
cat50,10803,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [3500, 4000) g",Post-copula joint distribution bins,37,38,False,False,3500,4000,False,"[37, 38)",1,37.5,"[3500, 4000)",500,3750.0
cat51,10804,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [3000, 3500) g",Post-copula joint distribution bins,40,42,True,True,3000,3500,False,"[40, 42]",2,41.0,"[3000, 3500)",500,3250.0
cat52,10805,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [3000, 3500) g",Post-copula joint distribution bins,38,40,False,False,3000,3500,False,"[38, 40)",2,39.0,"[3000, 3500)",500,3250.0
cat53,10806,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [4000, 9999] g",Post-copula joint distribution bins,38,40,False,False,4000,9999,True,"[38, 40)",2,39.0,"[4000, 9999]",5999,6999.5
cat54,10807,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [3500, 4000) g",Post-copula joint distribution bins,38,40,False,False,3500,4000,False,"[38, 40)",2,39.0,"[3500, 4000)",500,3750.0
cat55,10808,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [3500, 4000) g",Post-copula joint distribution bins,40,42,True,True,3500,4000,False,"[40, 42]",2,41.0,"[3500, 4000)",500,3750.0
cat56,10809,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [4000, 9999] g",Post-copula joint distribution bins,40,42,True,True,4000,9999,True,"[40, 42]",2,41.0,"[4000, 9999]",5999,6999.5
cat80,20203,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [2000, 2500) g",Post-copula joint distribution bins,28,30,False,False,2000,2500,False,"[28, 30)",2,29.0,"[2000, 2500)",500,2250.0
cat81,20204,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [2500, 3000) g",Post-copula joint distribution bins,28,30,False,False,2500,3000,False,"[28, 30)",2,29.0,"[2500, 3000)",500,2750.0
cat82,20205,"Neonatal preterm and LBWSG (estimation years) - [28, 30) wks, [3000, 3500) g",Post-copula joint distribution bins,28,30,False,False,3000,3500,False,"[28, 30)",2,29.0,"[3000, 3500)",500,3250.0
cat88,20209,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [2500, 3000) g",Post-copula joint distribution bins,30,32,False,False,2500,3000,False,"[30, 32)",2,31.0,"[2500, 3000)",500,2750.0
cat89,20210,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [3000, 3500) g",Post-copula joint distribution bins,30,32,False,False,3000,3500,False,"[30, 32)",2,31.0,"[3000, 3500)",500,3250.0
cat90,20211,"Neonatal preterm and LBWSG (estimation years) - [30, 32) wks, [3500, 4000) g",Post-copula joint distribution bins,30,32,False,False,3500,4000,False,"[30, 32)",2,31.0,"[3500, 4000)",500,3750.0
cat95,20214,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [3000, 3500) g",Post-copula joint distribution bins,32,34,False,False,3000,3500,False,"[32, 34)",2,33.0,"[3000, 3500)",500,3250.0
cat96,20215,"Neonatal preterm and LBWSG (estimation years) - [32, 34) wks, [3500, 4000) g",Post-copula joint distribution bins,32,34,False,False,3500,4000,False,"[32, 34)",2,33.0,"[3500, 4000)",500,3750.0
cat106,20221,"Neonatal preterm and LBWSG (estimation years) - [36, 37) wks, [1000, 1500) g",Post-copula joint distribution bins,36,37,False,False,1000,1500,False,"[36, 37)",1,36.5,"[1000, 1500)",500,1250.0
cat116,20227,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [1000, 1500) g",Post-copula joint distribution bins,38,40,False,False,1000,1500,False,"[38, 40)",2,39.0,"[1000, 1500)",500,1250.0
cat117,20228,"Neonatal preterm and LBWSG (estimation years) - [38, 40) wks, [1500, 2000) g",Post-copula joint distribution bins,38,40,False,False,1500,2000,False,"[38, 40)",2,39.0,"[1500, 2000)",500,1750.0
cat123,20232,"Neonatal preterm and LBWSG (estimation years) - [40, 42+] wks, [1500, 2000) g",Post-copula joint distribution bins,40,42,True,True,1500,2000,False,"[40, 42]",2,41.0,"[1500, 2000)",500,1750.0
cat124,20224,"Neonatal preterm and LBWSG (estimation years) - [37, 38) wks, [1000, 1500) g",Post-copula joint distribution bins,37,38,False,False,1000,1500,False,"[37, 38)",1,37.5,"[1000, 1500)",500,1250.0
